"date","state","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-06-30","AK",14,14,0,,68,68,18,0,,,,0,,,,,1,944,,36,0,,,,,,526,,0,112185,3476,,,,,,0,112185,3476
"2020-06-30","AL",950,926,21,24,2769,2769,775,44,806,,368607,12489,,,,458,,38045,37536,870,0,,,,,,18866,,0,406143,13343,,,,,406143,13343,,0
"2020-06-30","AR",270,,5,,1413,1413,290,33,,,290426,8147,,,,220,67,20777,20777,520,0,,,,,,14531,,0,311203,8667,,,,,,0,311203,8667
"2020-06-30","AS",0,,0,,,,,0,,,696,0,,,,,,0,0,0,0,,,,,,,,0,696,0,,,,,,0,696,0
"2020-06-30","AZ",1632,1529,44,103,4736,4736,2793,102,,683,453141,16251,,,,,455,79215,78781,4682,0,,,,,,,,0,759832,26633,200303,,169911,,531922,20913,759832,26633
"2020-06-30","CA",5980,,44,,,,6466,0,,1751,,0,,,,,,228732,228732,9480,0,,,,,,,,0,4167139,105447,,,,,,0,4167139,105447
"2020-06-30","CO",1690,1355,8,335,5489,5489,237,47,,,294788,3442,98921,,,,,32715,29844,204,0,6940,,,,,,394616,5803,394616,5803,105861,,,,324632,3635,,0
"2020-06-30","CT",4322,3453,2,869,10268,10268,98,0,,,,0,,,446265,,,46514,44534,152,0,,,,,57508,8053,,0,505320,13287,,,,,,0,505320,13287
"2020-06-30","DC",551,,0,,,,126,0,,33,,0,,,,,22,10327,,35,0,,,,,,1270,97295,1935,97295,1935,,,,,76112,1537,,0
"2020-06-30","DE",509,451,2,58,,,64,0,,13,99407,852,,,,,,11474,10430,98,0,,,,,14278,6667,143661,3435,143661,3435,,,,,110881,950,,0
"2020-06-30","FL",3604,3604,58,,14879,14879,,228,,,1792561,26159,,226699,2136944,,,149889,,6027,0,,,9575,,195894,,2121648,39427,2121648,39427,,,236304,,1946510,32359,2337165,37735
"2020-06-30","GA",2805,,21,,11051,11051,1459,227,2323,,,0,,,,,,81291,81291,1874,0,8547,,,,74214,,,0,833733,11092,157623,,,,,0,833733,11092
"2020-06-30","GU",5,,0,,,,0,0,,,13056,397,,,,,,259,251,4,0,2,,,,,179,,0,13315,401,128,,,,,0,13041,200
"2020-06-30","HI",18,18,0,,111,111,,0,,,76843,587,,,,,,900,,1,0,,,,,860,722,90238,880,90238,880,,,,,77743,588,90577,711
"2020-06-30","IA",715,,7,,,,133,0,,34,275181,3118,,30308,,,20,29007,29007,225,0,,,2303,,,23212,,0,304188,3343,,,32644,,304608,3345,,0
"2020-06-30","ID",91,71,0,20,322,322,60,10,114,18,83551,2525,,,,,,5752,5212,433,0,,,,,,4073,,0,88763,2947,,,,,88763,2947,,0
"2020-06-30","IL",7124,6923,21,201,,,1560,0,,401,,0,,,,,185,144238,143185,724,0,,,,,,,,0,1602965,31069,,,,,,0,1602965,31069
"2020-06-30","IN",2640,2448,16,192,7065,7065,695,41,1477,272,438602,7311,,,,,97,45594,,366,0,,,,,47831,,,0,616453,13264,,,,,484196,7677,616453,13264
"2020-06-30","KS",270,,0,,1152,1152,,0,360,,162282,0,,,,152,,14443,,0,0,,,,,,,,0,176725,0,,,,,176348,0,,0
"2020-06-30","KY",565,561,5,4,2621,2621,408,19,1019,75,,0,,,,,,15624,15090,277,0,,,,,,3990,,0,370400,9471,34381,,,,,0,370400,9471
"2020-06-30","LA",3221,3113,22,108,,,781,0,,,670416,22860,,,,,83,58095,58095,1014,0,,,,,,42225,,0,728511,23874,,,,,,0,728511,23874
"2020-06-30","MA",8054,7874,-41,180,11337,11337,733,-8,,120,739259,5740,,,,,63,108882,103701,114,0,,,,,137597,93157,,0,1103550,16112,,,71686,,842960,5813,1103550,16112
"2020-06-30","MD",3190,3062,15,128,10844,10844,452,22,,152,468296,6237,,,,,,67559,67559,305,0,,,,,78682,4982,,0,647019,8682,,,,,535855,6542,647019,8682
"2020-06-30","ME",105,104,0,1,348,348,29,1,,9,,0,7106,,,,4,3253,2893,34,0,332,,,,3600,2646,,0,95994,1426,7447,,,,,0,95994,1426
"2020-06-30","MI",6193,5947,32,246,,,471,0,,179,,0,,,974329,,98,70728,63870,505,0,,,,,87787,51099,,0,1062116,15571,160431,,,,,0,1062116,15571
"2020-06-30","MN",1476,1441,6,35,4054,4054,270,23,1258,136,569013,11919,,,,,,36303,36303,442,0,,,,,,31601,605316,12361,605316,12361,,,,,,0,,0
"2020-06-30","MO",1015,,17,,,,599,0,,,351456,5093,,41436,399926,,66,21551,21551,508,0,,,1548,,23527,,,0,424214,0,,,42984,,373007,5601,424214,0
"2020-06-30","MP",2,,0,,,,,0,,,8187,0,,,,,,30,30,0,0,,,,,,19,,0,8217,0,,,,,,0,8217,0
"2020-06-30","MS",1073,1056,14,17,3156,3156,779,41,,167,260299,3344,,,,,91,27247,27067,680,0,,,,,,19388,,0,287546,4024,11965,,,,,0,287546,4191
"2020-06-30","MT",22,,0,,101,101,12,1,,,,0,,,,,,967,,48,0,,,,,,642,,0,90861,2118,,,,,,0,90861,2118
"2020-06-30","NC",1343,1343,18,,,,908,0,,,,0,,,,,,64670,64670,1186,0,,,,,,,,0,877038,16374,,,,,,0,877038,16374
"2020-06-30","ND",88,,0,,231,231,25,4,,,102546,394,4747,,,,,3572,3572,38,0,183,,,,,3195,178468,1693,178468,1693,4930,,,,103790,668,182274,1710
"2020-06-30","NE",269,,2,,1330,1330,121,14,,,159115,2742,,,197285,,,19042,,143,0,,,,,23261,13547,,0,221183,3951,,,,,178368,2884,221183,3951
"2020-06-30","NH",371,,4,,565,565,37,0,162,,113387,849,,,,,,5782,,22,0,,,,,,4463,,0,152928,3529,22264,,19264,,119169,871,152928,3529
"2020-06-30","NJ",14944,13181,43,1763,19847,19847,992,0,,211,1250707,17995,,,,,174,172637,171667,438,0,,,,,,,,0,1423344,18433,,,,,,0,1422374,18390
"2020-06-30","NM",497,,4,,1902,1902,127,26,,,,0,,,,,,12147,,165,0,,,,,,5393,,0,344181,6461,,,,,,0,344181,6461
"2020-06-30","NV",507,,3,,,,593,0,,134,259112,3989,,,,,65,18456,18456,562,0,,,,,,,349209,9795,349209,9795,,,,,275978,4581,322944,8556
"2020-06-30","NY",24855,,13,,,,891,0,,217,,0,,,,,137,393454,,524,0,,,,,,,3914938,52025,3914938,52025,,,,,,0,,0
"2020-06-30","OH",2863,2615,45,248,7839,7839,722,93,1994,242,,0,,,,,115,51789,48222,743,0,,,,,56576,,,0,825320,13328,,,,,,0,825320,13328
"2020-06-30","OK",387,,2,,1520,1520,315,31,,111,327840,14819,,,327840,,,13757,13757,585,0,1171,,,,15029,10085,,0,341597,15404,34490,,,,,0,343623,15940
