abbr,date,death,positive,Name
AK,2021-03-01,300,56339,Alaska
AL,2021-03-01,9931,493769,Alabama
AR,2021-03-01,5250,322509,Arkansas
AZ,2021-03-01,15979,817821,Arizona
CA,2021-03-01,52194,3479078,California
CO,2021-03-01,5952,429839,Colorado
CT,2021-03-01,7651,282626,Connecticut
DC,2021-03-01,1019,40684,District Of Columbia
DE,2021-03-01,1422,87080,Delaware
FL,2021-03-01,31556,1875818,Florida
GA,2021-03-01,17376,1008660,Georgia
HI,2021-03-01,439,28355,Hawaii
IA,2021-03-01,5472,280279,Iowa
ID,2021-03-01,1860,171140,Idaho
IL,2021-03-01,22759,1187839,Illinois
IN,2021-03-01,12595,662213,Indiana
KS,2021-03-01,4743,294302,Kansas
KY,2021-03-01,4652,405126,Kentucky
LA,2021-03-01,9628,430504,Louisiana
MA,2021-03-01,16144,582543,Massachusetts
MD,2021-03-01,7879,382702,Maryland
ME,2021-03-01,703,44762,Maine
MI,2021-03-01,16519,647415,Michigan
MN,2021-03-01,6486,485230,Minnesota
MO,2021-03-01,7919,478416,Missouri
MS,2021-03-01,6681,294994,Mississippi
MT,2021-03-01,1357,100003,Montana
NC,2021-03-01,11254,862170,North Carolina
ND,2021-03-01,1475,99852,North Dakota
NE,2021-03-01,2082,200946,Nebraska
NH,2021-03-01,1170,75588,New Hampshire
NJ,2021-03-01,23273,792496,New Jersey
NM,2021-03-01,3729,185297,New Mexico
NV,2021-03-01,4957,293980,Nevada
NY,2021-03-01,38577,1636680,New York
OH,2021-03-01,17346,968847,Ohio
OK,2021-03-01,4478,424888,Oklahoma
OR,2021-03-01,2208,155597,Oregon
PA,2021-03-01,24026,933270,Pennsylvania
RI,2021-03-01,2517,126588,Rhode Island
SC,2021-03-01,8562,517976,South Carolina
SD,2021-03-01,1888,112470,South Dakota
TN,2021-03-01,11421,775693,Tennessee
TX,2021-03-01,42995,2647845,Texas
UT,2021-03-01,1940,371492,Utah
VA,2021-03-01,8783,577174,Virginia
VT,2021-03-01,205,15284,Vermont
WA,2021-03-01,4956,339773,Washington
WI,2021-03-01,7014,617700,Wisconsin
WV,2021-03-01,2300,132048,West Virginia
WY,2021-03-01,671,54471,Wyoming
